DF,VC
Wardrobe space,Sufficient storage
Space for furniture,Sufficient space
Parapet wall,Buildability
Parapet wall,Maintainability
Layout,Movability of the furniture
MMC,Flexibility and adaptability
Exterior detailing,Aesthetic appeal
Layout,Sufficient space
Handrail,Accessibility
Level access,Accessibility
Space standards,Sufficient space
Space standards,Sufficient storage
MMC,Maintainability
Alley-way access to garden,Security
Multiple bathrooms,Flexibility and Adaptability
Desk space in room,Sufficient space
Ceiling height,Sufficient space
Defensible space,Security
Multiple windows,Natural Light
Full height windows,Natural Light
HQI compliance,Sufficient storage
French doors to garden,Connectedness to nature
Insulation,Energy affordability
Insulation,Energy efficiency
Wardrobe space,Sufficient storage
Building fabric,Energy affordability
Building fabric,Energy efficiency
Insulation,Energy affordability
Insulation,Energy efficiency
Design standards and guidelines,Energy efficiency
Design standards and guidelines,Energy affordability
Pavement in front of the house,Sufficient space
Defensible space,Security
Pavement in front of the house,Padestrian safety
Parking close to the house,Security
Layout of estate,Housing density
Layout of estate,Connectedness to nature
Ensuite bathroom,Sufficient space
Wide doors,Accessibility and circulation
Wardrobe space,Sufficient storage
Design standards and guidelines,Flexibility and adaptability
Defensible space,Security
Open plan,Social space
Exterior accessibility,Accessibility and circulation
Space for furniture,Sufficient space
Multiple bathrooms,Flexibility and adaptability
Spacious kitchen,Sufficient space
Open plan,Energy affordability
Open plan,Energy efficiency
Cupboard space,Sufficient storage
Wardrobe space,Sufficient storage
Large windows,Light and airy space
Private garden space,Connectedness to nature
Large windows,View from windows
Garden space,Connectedness to nature
Garden space,Relaxation
Space for furniture,Sufficient space
Space for electronics,Sufficient space
Conservatory,Sufficient space
Cupboard space,Sufficient storage
Play space,Sufficient space
Bay window storage,Sufficient storage
Room size,Sufficient space
Dining table,Social space
Fencing around garden,Security
Loft accessibility,Flexibility and Adaptability
Independent heating controls in spaces,Energy affordability
Temporary partition / Folding doors,Flexibility and adaptability
Downstairs shower,Flexibility and adaptability
Downstairs toilet,Flexibility and adaptability
Open plan,Energy efficiency
Outside lights,Security
Outside lights,Accessibility
Number of sockets,Convenience
Space for furniture,Sufficient space
Cupboard space,Sufficient storage
Glare free lighting,Visual comfort
Light surfaces (vs dark surfaces),Visual comfort
Light surfaces (vs dark surfaces),Natural light
No harsh cold surfaces,Touch related comfort
Study space,Sufficient space
Retrofit,Indoor Air Quality (IAQ)
Refurbishment,Indoor Air Quality (IAQ)
Space configuration,User customisability
Bigger sized downstairs toilet,Flexibility and Adaptability
Bigger sized downstairs toilet,Lifetime home
Bedroom on ground floor,Flexibility and Adaptability
Bedroom on ground floor,Lifetime home
Corridor size,Accessibility and circulation
Door width,Accessibility and circulation
Living room size,Accessibility and circulation
Kitchen size,Accessibility and circulation
Layout,Accessibility and circulation
Wide enough stairs,Accessibility and circulation
Toilet opening to living room,Accessibility and circulation
Circulation space,Accessibility and circulation
Wide enough entrance,Accessibility and circulation
Number of rooms,Flexibility and adaptability
Number of rooms,Sufficient space
Room size,Flexibility and adaptability
Room size,Sufficient space
Space standards,Sufficient space
Space standards,Sufficient storage
Kitchen size,Sufficient space
Living room size,Sufficient space
Room size,Sufficient space
Window size,Natural light
Position of windows,Natural light
Higher head of windows,Natural light
Daylight factor,Natural light
Uniformity of illuminance,Natural light
Double vs Triple glazing,Cost
Standard Assessment Procedure,Energy affordability
Standard Assessment Procedure,Energy efficiency
Glazing ratio,Cost
Glazing ratio,Energy affordability
Glazing ratio,Energy efficiency
Glazing ratio,Thermal comfort
Window size,Energy efficiency
Window size,Thermal comfort
Acoustic performance specification,Acoustic comfort
More insulation and mass of material,Acoustic comfort
Testing and compliance,Acoustic comfort
Testing and compliance,Thermal comfort
Testing and compliance,Indoor Air Quality (IAQ)
Testing and compliance,Natural light
Kitchen position (Front-Back-Middle),Security
Optional partition,Flexibility and adaptability
Window size,Cultural considerations of occupants
Window position,Cultural considerations of occupants
Window opacity,Cultural considerations of occupants
Window size,Visual privacy
Window position,Visual privacy
Window opacity,Visual privacy
Window size,Natural light
Window position,Natural light
Window opacity,Natural light
Building orientation,Natural light
Space standards,Sufficient space
Bedroom on ground floor,Flexibility and adaptability
Space configuration,Flexibility and adaptability
Separate living areas,Flexibility and adaptability
Play space,Flexibility and adaptability
Space standards,Flexibility and adaptability
Offsite construction,"Quality of design, build and materials"
Offsite construction,Acoustic comfort
Offsite construction,Flexibility and adaptability
Different house sizes,Security
Layout of estate,Security
Specifications of finishes,"Quality of design, build and materials"
Storage under stairs,Sufficient storage
Space configuration,Flexibility and adaptability
Different house types,Flexibility and adaptability
Occupant type,Flexibility and adaptability
Strong kitchen carcass,"Quality of design, build and materials"
Access for maintenance,Maintainability
Correct as built drawings,Maintainability
Offsite construction,"Quality of design, build and materials"
Offsite construction,Flexibility and Adaptability
Door width,Accessibility and circulation
Kitchen size,Accessibility and circulation
Bathroom size,Accessibility and circulation
Handrail,Accessibility and circulation
Generous glazing,Natural light
Window height,Natural light
Window size,Natural light
Window shape,Natural light
Window orientation,Natural light
Door openings,Natural light
Insulation,Energy affordability
User controls,Energy affordability
Occupant awareness,Energy affordability
Wheel chair access,Flexibility and adaptability
Bedroom on ground floor,Flexibility and adaptability
Bathroom on ground floor,Flexibility and adaptability
Design life,Flexibility and adaptability
Orientation,Natural Light
Door width,Accessibility and circulation
Ramp access,Accessibility and circulation
Solar PV panels,Energy affordability
Solar PV panels,Environmental protection
Smart meters,Energy affordability
Insulation,Energy efficiency
Sensor based lighting,Security
Security alarm,Security
Windows,Natural light
Multiple bathrooms,Flexibility and adaptability
Kitchen size,Accessibility and circulation
Open plan,Accessibility and circulation
Patio doors to garden,Natural light
Use of mirrors,Natural light
Play space,Sufficient space
Space configurability,Flexibility and adaptability
Open plan,Flexibility and adaptability
Downstairs toilet,Flexibility and adaptability
Regularity of door placement,Accessibility and circulation
Room shape,Sufficient storage
Room layout,Sufficient storage
Furniture,Sufficient storage
Loft accessibility,Sufficient storage
Patio doors,Security
Ensuite bathroom,Auditory comfort
Downstairs toilet,Auditory comfort
Open plan,Social space
Open plan,Appearance of space
Independently controlled zonal heating,Energy affordability
Independently controlled zonal heating,Thermal comfort
Number of sockets,Resource availability
Level of sockets,Resource availability
Cupboard space,Sufficient storage
Garage,Sufficient storage
Outside storage,Sufficient storage
Insulation,Energy affordability
Insulation,Energy efficiency
Insulation,Thermal comfort
Independently controlled zonal heating,Energy affordability
Independently controlled zonal heating,Thermal comfort
Noise insulation,Auditory comfort
Open plan,Flexibility and adaptability
Open plan,Connectedness to nature
Loft space,Sufficient storage
Street lighting,Security
Occupant type,Sufficient space
Number of occupants,Sufficient space
Regularity of room shape,Accessibility and circulation
Interior accessibility,Accessibility and circulation
Bathroom size,Accessibility and circulation
